大学ID一覧,,,,,
大学ID,学校名,2021年度,2022年度,2023年度,2024年度
0100,北海道大学,○,○,○,○
0104,北海道教育大学,○,○,○,○
0108,室蘭工業大学,○,○,○,○
0112,小樽商科大学,○,○,○,○
0116,帯広畜産大学,○,○,○,○
0120,北見工業大学,○,○,○,○
0124,弘前大学,○,○,○,○
0128,岩手大学,○,○,○,○
0132,東北大学,○,○,○,○
0136,宮城教育大学,○,○,○,○
0140,秋田大学,○,○,○,○
0144,山形大学,○,○,○,○
0148,福島大学,○,○,○,○
0152,茨城大学,○,○,○,○
0156,宇都宮大学,○,○,○,○
0160,群馬大学,○,○,○,○
0164,埼玉大学,○,○,○,○
0168,千葉大学,○,○,○,○
0172,東京大学,○,○,○,○
0176,東京医科歯科大学,○,○,○,○
0180,東京外国語大学,○,○,○,○
0184,東京芸術大学,○,○,○,○
0192,東京工業大学,○,○,○,○
0204,お茶の水女子大学,○,○,○,○
0208,東京学芸大学,○,○,○,○
0212,東京農工大学,○,○,○,○
0216,電気通信大学,○,○,○,○
0220,一橋大学,○,○,○,○
0224,横浜国立大学,○,○,○,○
0228,新潟大学,○,○,○,○
0236,金沢大学,○,○,○,○
0248,信州大学,○,○,○,○
0252,岐阜大学,○,○,○,○
0256,静岡大学,○,○,○,○
0260,名古屋大学,○,○,○,○
0264,名古屋工業大学,○,○,○,○
0268,愛知教育大学,○,○,○,○
0272,三重大学,○,○,○,○
0276,滋賀大学,○,○,○,○
0280,京都大学,○,○,○,○
0284,京都教育大学,○,○,○,○
0288,京都工芸繊維大学,○,○,○,○
0292,大阪大学,○,○,○,○
0300,大阪教育大学,○,○,○,○
0304,神戸大学,○,○,○,○
0312,奈良教育大学,○,○,○,○
0316,奈良女子大学,○,○,○,○
0320,和歌山大学,○,○,○,○
0324,鳥取大学,○,○,○,○
0332,岡山大学,○,○,○,○
0336,広島大学,○,○,○,○
0340,山口大学,○,○,○,○
0344,徳島大学,○,○,○,○
0352,愛媛大学,○,○,○,○
0360,九州工業大学,○,○,○,○
0364,福岡教育大学,○,○,○,○
0368,九州大学,○,○,○,○
0380,長崎大学,○,○,○,○
0384,熊本大学,○,○,○,○
0396,鹿児島大学,○,○,○,○
0400,琉球大学,○,○,○,○
0404,旭川医科大学,○,○,○,○
0408,筑波大学,○,○,○,○
0412,浜松医科大学,○,○,○,○
0420,滋賀医科大学,○,○,○,○
0432,長岡技術科学大学,○,○,○,○
0436,豊橋技術科学大学,○,○,○,○
0452,上越教育大学,○,○,○,○
0464,兵庫教育大学,○,○,○,○
0476,鳴門教育大学,○,○,○,○
0480,鹿屋体育大学,○,○,○,○
0484,総合研究大学院大学,○,○,○,○
0488,北陸先端科学技術大学院大学,○,○,○,○
0492,奈良先端科学技術大学院大学,○,○,○,○
0496,政策研究大学院大学,○,○,○,○
0500,山梨大学,○,○,○,○
0504,東京海洋大学,○,○,○,○
0508,福井大学,○,○,○,○
0512,島根大学,○,○,○,○
0516,香川大学,○,○,○,○
0520,高知大学,○,○,○,○
0524,佐賀大学,○,○,○,○
0528,大分大学,○,○,○,○
0532,宮崎大学,○,○,○,○
0536,富山大学,○,○,○,○
0540,筑波技術大学,○,○,○,○
1100,札幌医科大学,‐,‐,‐,‐
1102,公立はこだて未来大学,○,○,○,○
1104,釧路公立大学,○,○,○,○
1105,名寄市立大学,○,○,○,○
1106,札幌市立大学,○,○,○,○
1107,公立千歳科学技術大学,○,○,○,○
1112,青森公立大学,○,○,○,○
1113,青森県立保健大学,○,○,○,○
1114,岩手県立大学,○,○,○,○
1116,宮城大学,○,○,○,○
1120,秋田県立大学,○,○,○,○
1121,国際教養大学,○,○,○,○
1122,山形県立保健医療大学,○,○,○,○
1123,山形県立米沢栄養大学,○,○,○,○
1124,福島県立医科大学,○,○,○,○
1128,会津大学,○,○,○,○
1132,茨城県立医療大学,○,○,○,○
1135,秋田公立美術大学,○,○,○,○
1136,高崎経済大学,○,○,○,○
1138,前橋工科大学,○,○,○,○
1140,群馬県立女子大学,○,○,○,○
1142,群馬県立県民健康科学大学,○,○,○,○
1143,埼玉県立大学,‐,○,○,○
1144,千葉県立保健医療大学,○,○,○,○
1149,東京都立大学,‐,‐,‐,‐
1152,横浜市立大学,‐,‐,○,○
1153,神奈川県立保健福祉大学,○,○,○,○
1154,東京都立産業技術大学院大学,○,○,○,○
1155,新潟県立看護大学,○,○,○,○
1156,新潟県立大学,○,○,○,○
1157,長岡造形大学,○,○,○,○
1158,三条市立大学,‐,‐,‐,○
1160,富山県立大学,○,○,○,○
1162,公立小松大学,○,○,○,○
1163,石川県立大学,○,○,○,○
1164,金沢美術工芸大学,‐,‐,‐,‐
1165,石川県立看護大学,○,○,○,○
1166,福井県立大学,○,‐,‐,○
1167,敦賀市立看護大学,○,○,○,○
1172,都留文科大学,○,○,○,○
1177,山梨県立大学,○,○,○,○
1179,公立諏訪東京理科大学,○,○,○,○
1181,長野県立大学,○,○,○,○
1182,長野県看護大学,○,○,○,○
1183,長野大学,○,○,○,○
1184,岐阜薬科大学,‐,‐,‐,‐
1185,岐阜県立看護大学,○,○,○,○
1186,情報科学芸術大学院大学,○,○,○,○
1189,静岡県立農林環境専門職大学,‐,‐,‐,‐
1190,静岡県立大学,○,○,○,○
1193,静岡文化芸術大学,○,○,○,○
1194,静岡社会健康医学大学院大学,○,○,○,○
1204,名古屋市立大学,‐,‐,‐,‐
1208,愛知県立芸術大学,‐,‐,‐,〇
1215,三重県立看護大学,○,○,○,〇
1216,滋賀県立大学,○,○,○,〇
1217,愛知県立大学,‐,‐,○,〇
1220,京都市立芸術大学,‐,‐,‐,‐
1224,京都府立大学,‐,‐,‐,‐
1228,京都府立医科大学,‐,‐,‐,〇
1229,福知山公立大学,○,○,○,〇
1236,大阪市立大学,○,‐,‐,‐
1243,大阪府立大学,○,‐,‐,‐
1248,神戸市外国語大学,○,○,○,〇
1258,神戸市看護大学,‐,○,○,〇
1263,兵庫県立大学,○,○,○,〇
1264,奈良県立医科大学,○,○,○,〇
1266,奈良県立大学,○,○,○,〇
1268,和歌山県立医科大学,○,○,○,〇
1269,芸術文化観光専門職大学,○,○,○,〇
1272,公立鳥取環境大学,○,○,○,〇
1277,島根県立大学,○,○,○,〇
1278,岡山県立大学,○,○,○,〇
1279,新見公立大学,○,○,○,〇
1282,県立広島大学,○,○,○,〇
1283,尾道市立大学,○,○,○,〇
1287,広島市立大学,○,○,○,〇
1288,下関市立大学,○,‐,‐,‐
1292,山口県立大学,○,○,○,〇
1293,山陽小野田市立山口東京理科大学,○,○,○,〇
1295,福山市立大学,○,○,○,〇
1296,叡啓大学,○,○,○,〇
1300,香川県立保健医療大学,○,○,○,〇
1305,愛媛県立医療技術大学,○,○,○,〇
1308,高知県立大学,○,○,○,〇
1309,高知工科大学,○,○,○,〇
1312,北九州市立大学,○,○,○,〇
1316,九州歯科大学,○,○,○,〇
1320,福岡女子大学,○,○,○,〇
1322,福岡県立大学,○,○,○,〇
1330,長崎県立大学,○,○,○,〇
1332,熊本県立大学,○,○,○,〇
1334,大分県立看護科学大学,○,○,○,〇
1336,宮崎公立大学,○,○,○,〇
1338,宮崎県立看護大学,○,○,○,〇
1347,名桜大学,○,○,○,〇
1348,沖繩県立芸術大学,○,○,○,〇
1349,沖縄県立看護大学,○,○,○,〇
1901,大阪公立大学,,○,‐,‐
1902,川崎市立看護大学,,○,○,〇
1903,周南公立大学,,○,○,〇
1904,旭川市立大学,,,○,〇
1905,東北農林専門職大学,,,,‐
2328,デジタルハリウッド大学,○,○,○,〇
2339,ビジネス・ブレークスルー大学,○,○,○,〇
2868,サイバー大学,○,○,○,〇
2327,LEC東京リーガルマインド大学院大学,‐,‐,‐,‐
4360,岩手県立大学盛岡短期大学部,○,○,○,〇
4362,岩手県立大学宮古短期大学部,○,○,○,〇
4372,山形県立米沢女子短期大学,○,○,○,〇
4376,会津大学短期大学部,○,○,○,〇
4418,川崎市立看護短期大学,○,‐,‐,〇
4448,大月短期大学,○,○,○,〇
4456,岐阜市立女子短期大学,○,○,○,〇
4459,静岡県立農林環境専門職大学短期大学部,‐,‐,‐,‐
4461,静岡県立大学短期大学部,○,○,○,〇
4480,三重短期大学,○,○,○,〇
4538,島根県立大学短期大学部,○,○,○,〇
4542,倉敷市立短期大学,○,○,○,〇
4612,大分県立芸術文化短期大学,○,○,○,〇
4620,鹿児島県立短期大学,‐,‐,‐,‐
4901,旭川市立大学短期大学部,,,○,○
,,,,,
※各年度欄の記号は以下を表す。,,,,,
「○」…大学ポートレート参加,,,,,
「‐」…大学ポートレート不参加,,,,,
  斜線  …未設置または統廃合等,,,,,